_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
11520,2017-08,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,07 TO 09,44.0,Improved,1978,59 years 05 months,230000.0,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983,2025-06-30
11521,2017-08,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44.0,Improved,1978,59 years 05 months,240000.0,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983,2025-06-30
11522,2017-08,ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1977,58 years 10 months,257000.0,323 ANG MO KIO AVE 3,560323,1.36790849360635,103.84771408812,2025-06-30
11523,2017-08,ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1978,59 years 05 months,258000.0,230 ANG MO KIO AVE 3,560230,1.36885445228086,103.837896397823,2025-06-30
11524,2017-08,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,61 years 06 months,258000.0,535 ANG MO KIO AVE 5,560535,1.37458255258876,103.853049125302,2025-06-30
11525,2017-08,ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1977,59 years 01 month,267000.0,235 ANG MO KIO AVE 3,560235,1.36682360872342,103.83649123351,2025-06-30
11526,2017-08,ANG MO KIO,3 ROOM,232,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1977,59 years 01 month,273000.0,232 ANG MO KIO AVE 3,560232,1.36834606813391,103.837196046409,2025-06-30
11527,2017-08,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1980,62 years 03 months,278000.0,610 ANG MO KIO AVE 4,560610,1.37939470300077,103.839157232686,2025-06-30
11528,2017-08,ANG MO KIO,3 ROOM,643,ANG MO KIO AVE 5,07 TO 09,75.0,New Generation,1980,62 years 04 months,280000.0,643 ANG MO KIO AVE 5,560643,1.3775062692911,103.840557182306,2025-06-30
11529,2017-08,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,61 years,283000.0,442 ANG MO KIO AVE 10,560442,1.36565326940253,103.855232195496,2025-06-30
11530,2017-08,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,07 TO 09,68.0,New Generation,1985,66 years 05 months,283000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956,2025-06-30
11531,2017-08,ANG MO KIO,3 ROOM,156,ANG MO KIO AVE 4,10 TO 12,68.0,New Generation,1981,62 years 09 months,285000.0,156 ANG MO KIO AVE 4,560156,1.37549519574964,103.839947470774,2025-06-30
11532,2017-08,ANG MO KIO,3 ROOM,605,ANG MO KIO AVE 5,04 TO 06,67.0,New Generation,1980,61 years 10 months,286888.0,605 ANG MO KIO AVE 5,560605,1.37967157676416,103.836487400764,2025-06-30
