_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
50563,2019-06,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,10 TO 12,45.0,Improved,1986,65 years 07 months,195000.0,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365,2025-06-30
50564,2019-06,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1984,64 years 01 month,220000.0,473 ANG MO KIO AVE 10,560473,1.36305380914637,103.856846002568,2025-06-30
50565,2019-06,ANG MO KIO,3 ROOM,120,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,58 years 04 months,222000.0,120 ANG MO KIO AVE 3,560120,1.37004739686133,103.844594754874,2025-06-30
50566,2019-06,ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 08 months,228000.0,434 ANG MO KIO AVE 10,560434,1.3678915069194,103.85345502653,2025-06-30
50567,2019-06,ANG MO KIO,3 ROOM,451,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1979,59 years 01 month,230000.0,451 ANG MO KIO AVE 10,560451,1.36879314171149,103.855527833291,2025-06-30
50568,2019-06,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,56 years,235000.0,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489,2025-06-30
50569,2019-06,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,58 years 07 months,235000.0,440 ANG MO KIO AVE 10,560440,1.36642789831215,103.854311491141,2025-06-30
50570,2019-06,ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,01 TO 03,73.0,New Generation,1977,57 years 01 month,235000.0,255 ANG MO KIO AVE 4,560255,1.37065487078854,103.834630215787,2025-06-30
50571,2019-06,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,59 years 02 months,240000.0,475 ANG MO KIO AVE 10,560475,1.36266297827625,103.85651592319,2025-06-30
50572,2019-06,ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,07 TO 09,68.0,New Generation,1980,59 years 07 months,240000.0,565 ANG MO KIO AVE 3,560565,1.3695393440628,103.858385596097,2025-06-30
