_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude,_ts
116840,2022-03,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,10 TO 12,67.0,New Generation,1980,57 years,280000.0,535 ANG MO KIO AVE 5,560535,1.37458255258876,103.853049125302,2025-06-30
116841,2022-03,ANG MO KIO,3 ROOM,502,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,57 years 11 months,318000.0,502 ANG MO KIO AVE 5,560502,1.37572474765516,103.849934305516,2025-06-30
116842,2022-03,ANG MO KIO,3 ROOM,538,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1980,56 years 11 months,322000.0,538 ANG MO KIO AVE 5,560538,1.37559336678106,103.853347801104,2025-06-30
116843,2022-03,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,13 TO 15,82.0,New Generation,1979,56 years 05 months,325000.0,476 ANG MO KIO AVE 10,560476,1.36238829184688,103.857880564737,2025-06-30
116844,2022-03,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,01 TO 03,68.0,New Generation,1980,57 years 06 months,325000.0,504 ANG MO KIO AVE 8,560504,1.37482589458092,103.848956089557,2025-06-30
116845,2022-03,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,55 years 06 months,325888.0,109 ANG MO KIO AVE 4,560109,1.3700965375834,103.837687766047,2025-06-30
116846,2022-03,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,57 years 10 months,330000.0,153 ANG MO KIO AVE 5,560153,1.37635745661369,103.842056476563,2025-06-30
116847,2022-03,ANG MO KIO,3 ROOM,225,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1978,54 years 10 months,335000.0,225 ANG MO KIO AVE 1,560225,1.36739612776859,103.838150007464,2025-06-30
116848,2022-03,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,53 years 04 months,343000.0,208 ANG MO KIO AVE 1,560208,1.36544495225352,103.842715047475,2025-06-30
116849,2022-03,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,67.0,New Generation,1976,53 years 03 months,345000.0,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489,2025-06-30
116850,2022-03,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1981,57 years 11 months,345000.0,542 ANG MO KIO AVE 10,560542,1.37473841331656,103.855876768354,2025-06-30
116851,2022-03,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1978,55 years 05 months,345000.0,110 ANG MO KIO AVE 4,560110,1.37045937010888,103.837419259859,2025-06-30
116852,2022-03,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,07 TO 09,67.0,New Generation,1980,57 years 03 months,345000.0,602 ANG MO KIO AVE 5,560602,1.38070883044887,103.835368226602,2025-06-30
116853,2022-03,ANG MO KIO,3 ROOM,181,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,58 years 01 month,348888.0,181 ANG MO KIO AVE 5,560181,1.37679309896347,103.837142240849,2025-06-30
116854,2022-03,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1981,57 years 10 months,350000.0,542 ANG MO KIO AVE 10,560542,1.37473841331656,103.855876768354,2025-06-30
116855,2022-03,ANG MO KIO,3 ROOM,322,ANG MO KIO AVE 3,01 TO 03,73.0,New Generation,1977,54 years 04 months,350000.0,322 ANG MO KIO AVE 3,560322,1.36835858820173,103.847745828569,2025-06-30
116856,2022-03,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,07 TO 09,74.0,New Generation,1978,55 years 02 months,350888.0,106 ANG MO KIO AVE 4,560106,1.37193370323489,103.837486061851,2025-06-30
116857,2022-03,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,56 years 05 months,355000.0,442 ANG MO KIO AVE 10,560442,1.36565326940253,103.855232195496,2025-06-30
116858,2022-03,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,07 TO 09,68.0,New Generation,1981,57 years 10 months,358000.0,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454,2025-06-30
116859,2022-03,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,04 TO 06,67.0,New Generation,1978,55 years 09 months,362000.0,119 ANG MO KIO AVE 3,560119,1.36956344301912,103.844698910817,2025-06-30
116860,2022-03,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,07 TO 09,68.0,New Generation,1980,57 years 06 months,365000.0,504 ANG MO KIO AVE 8,560504,1.37482589458092,103.848956089557,2025-06-30
116861,2022-03,ANG MO KIO,3 ROOM,637,ANG MO KIO AVE 6,07 TO 09,68.0,New Generation,1980,57 years 07 months,365000.0,637 ANG MO KIO AVE 6,560637,1.38036187235317,103.842334616577,2025-06-30
116862,2022-03,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,56 years 05 months,368000.0,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668,2025-06-30
116863,2022-03,ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,56 years 11 months,368888.0,557 ANG MO KIO AVE 10,560557,1.3716257020332,103.857736107527,2025-06-30
116864,2022-03,ANG MO KIO,3 ROOM,513,ANG MO KIO AVE 8,07 TO 09,67.0,New Generation,1984,61 years 06 months,369888.0,513 ANG MO KIO AVE 8,560513,1.37273696913231,103.850194854525,2025-06-30
116865,2022-03,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1977,54 years 02 months,370000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2025-06-30
116866,2022-03,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,10 TO 12,73.0,New Generation,1978,54 years 10 months,370000.0,313 ANG MO KIO AVE 3,560313,1.36664972640598,103.850133665442,2025-06-30
116867,2022-03,ANG MO KIO,3 ROOM,112,ANG MO KIO AVE 4,07 TO 09,74.0,New Generation,1978,54 years 11 months,370000.0,112 ANG MO KIO AVE 4,560112,1.37127865145519,103.835766565741,2025-06-30
116868,2022-03,ANG MO KIO,3 ROOM,117,ANG MO KIO AVE 4,04 TO 06,74.0,New Generation,1978,55 years 03 months,371000.0,117 ANG MO KIO AVE 4,560117,1.3737170825368,103.835610469339,2025-06-30
116869,2022-03,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,88.0,New Generation,1976,53 years 05 months,373888.0,208 ANG MO KIO AVE 1,560208,1.36544495225352,103.842715047475,2025-06-30
116870,2022-03,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,10 TO 12,73.0,New Generation,1977,54 years 03 months,378000.0,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914,2025-06-30
116871,2022-03,ANG MO KIO,3 ROOM,202,ANG MO KIO AVE 3,04 TO 06,81.0,New Generation,1977,54 years 02 months,380000.0,202 ANG MO KIO AVE 3,560202,1.36844644010937,103.844516260527,2025-06-30
116872,2022-03,ANG MO KIO,3 ROOM,606,ANG MO KIO AVE 5,04 TO 06,81.0,New Generation,1980,57 years 03 months,380000.0,606 ANG MO KIO AVE 5,560606,1.37932777238671,103.83673603156,2025-06-30
